Company Name,Phone Number,City,Industry,Company Type,Priority,Notes,Lead Status
Arval Nederland,020-5418000,Houten,Leasing,Leasemaatschappij,HIGH,BNP Paribas 105.000 contracten,New
Justlease,085-4019850,Houten,Leasing,Leasemaatschappij,HIGH,Online lease groeiend,New
DutchLease,033-4549540,Amersfoort,Leasing,Leasemaatschappij,HIGH,VW groep berijdersdesk,New
LeasePlan Nederland,020-5418200,Amsterdam,Leasing,Leasemaatschappij,HIGH,Wereldwijd actief,New
Bergingsbedrijf Laak,06-15420418,Den Haag,Automotive,Bergingsbedrijf,HIGH,24/7 eerste bij ongeval 4.9 sterren,New
Spoed Auto Sleep Rotterdam,010-4760800,Rotterdam,Automotive,Bergingsbedrijf,HIGH,24/7 luxe voertuigen specialist,New
Logicx Berging,088-5552000,Rotterdam,Automotive,Bergingsbedrijf,HIGH,Grote bergingsketen,New
Falck Berging,088-3002500,Landelijk,Automotive,Bergingsbedrijf,HIGH,Landelijke dekking ANWB partner,New
SOS International,070-3145155,Den Haag,Automotive,Bergingsbedrijf,HIGH,Internationale berging,New
ANWB Wegenwacht,088-2692222,Den Haag,Automotive,Pechhulpdienst,HIGH,Grootste NL ter plaatse bij ongeval,New
Route Mobiel,0900-0788,Landelijk,Automotive,Pechhulpdienst,HIGH,Pechhulp concurrent ANWB,New
DAS Rechtsbijstand,020-6518815,Amsterdam,Legal,Rechtsbijstandverzekeraar,HIGH,Grootste NL verkeersrechtszaken,New
ARAG Rechtsbijstand,033-4342342,Leusden,Legal,Rechtsbijstandverzekeraar,HIGH,24/7 noodgevallen groot volume,New
SRK Rechtsbijstand,030-2477777,Utrecht,Legal,Rechtsbijstandverzekeraar,HIGH,Veel verkeerszaken,New
Achmea Rechtsbijstand,055-5795795,Apeldoorn,Legal,Rechtsbijstandverzekeraar,HIGH,Interpolis Centraal Beheer,New
Letselschade Advocaat Amsterdam,020-7371447,Amsterdam,Legal,Letselschade Advocaat,HIGH,20+ jaar 1000+ zaken verwijst materiele schade door,New
De Letselschade Raetsman,085-1061719,Rotterdam,Legal,Letselschade Advocaat,HIGH,Ma-za open eerste gesprek gratis,New
SAP Letselschade Advocaten,010-4360099,Rotterdam,Legal,Letselschade Advocaat,HIGH,Specialist verkeersongevallen,New
Beer Advocaten,020-5765050,Amsterdam,Legal,Letselschade Advocaat,HIGH,Grote speler letselschade,New
Groot Letselschade Advocaten,070-3260606,Den Haag,Legal,Letselschade Advocaat,HIGH,,New
Rotterdam Taxi Centrale,010-2372018,Rotterdam,Transport,Taxibedrijf,HIGH,24/7 zakelijk vervoer,New
Taxi Service Rotterdam,06-20188833,Rotterdam,Transport,Taxibedrijf,HIGH,1500+ voertuigen veel schade,New
Rotterdamse Taxi,010-2613122,Rotterdam,Transport,Taxibedrijf,HIGH,RTX keurmerk,New
Den Haag Tax,070-2127155,Den Haag,Transport,Taxibedrijf,HIGH,Zakelijk vervoer hotels,New
Taxihaag,070-2211694,Den Haag,Transport,Taxibedrijf,HIGH,24/7 vaste tarieven,New
TCA Taxi Amsterdam,020-6777777,Amsterdam,Transport,Taxibedrijf,HIGH,Grootste Amsterdam,New
Taxi Direct Amsterdam,020-4201700,Amsterdam,Transport,Taxibedrijf,HIGH,,New
Taxi Utrecht,030-2300400,Utrecht,Transport,Taxibedrijf,HIGH,,New
De Wagenparkbeheerders,030-2374700,Utrecht,Fleet,Fleetmanagement,HIGH,8.3 klantscore professioneel beheer,New
Fleet Control Nederland,073-8200733,Den Bosch,Fleet,Fleetmanagement,HIGH,Volledig wagenparkbeheer,New
Fleet.nl,020-8208400,Amsterdam,Fleet,Fleetmanagement,HIGH,45+ B2B klanten platform,New
Webfleet Solutions,020-8510500,Amsterdam,Fleet,Fleetmanagement,HIGH,Track trace groot,New
TomTom Telematics,020-7575000,Amsterdam,Fleet,Fleetmanagement,HIGH,Fleet tracking,New
JBM Koeriers,088-1120000,Landelijk,Transport,Koeriersdienst,HIGH,Same-day delivery veel busjes,New
Kappa Koerier,088-3212121,Rotterdam,Transport,Koeriersdienst,HIGH,9.5/10 score zakelijk,New
Erasmus Koeriers,010-4122241,Rotterdam,Transport,Koeriersdienst,HIGH,Ophaling binnen 30 min,New
PostNL Koerier Zakelijk,088-8685825,Landelijk,Transport,Koeriersdienst,HIGH,Grootste NL spoedzendingen,New
DHL Express Zakelijk,088-5520000,Landelijk,Transport,Koeriersdienst,HIGH,Veel bestelwagens,New
Sixt Rotterdam,010-4621000,Rotterdam,Automotive,Autoverhuur,HIGH,Grote keten veel schade,New
Hertz Rotterdam,010-4115400,Rotterdam,Automotive,Autoverhuur,HIGH,Internationaal,New
Europcar Rotterdam,010-4118200,Rotterdam,Automotive,Autoverhuur,HIGH,,New
Enterprise Rotterdam,010-2621000,Rotterdam,Automotive,Autoverhuur,HIGH,Groot vloot,New
Avis Rotterdam,010-4113400,Rotterdam,Automotive,Autoverhuur,HIGH,,New
Budget Autoverhuur,010-4621500,Rotterdam,Automotive,Autoverhuur,HIGH,,New
Troost Auto's Rotterdam,0181-312345,Rotterdam,Automotive,Autodealer,HIGH,400+ occasions 4 vestigingen,New
Autobedrijf Heijne,020-4973274,Amsterdam,Automotive,Autodealer,HIGH,125+ occasions BOVAG 35 jaar,New
Van Mossel Automotive,076-5440000,Breda,Automotive,Autodealer,HIGH,Grootste NL dealer groep,New
Louwman Automotive,030-2472000,Utrecht,Automotive,Autodealer,HIGH,Toyota dealer groot,New
Pon Dealer Groep,033-4549999,Amersfoort,Automotive,Autodealer,HIGH,VW Audi Seat Skoda,New
AutoTrack Dealers,020-5765000,Amsterdam,Automotive,Autodealer,HIGH,Platform veel aangesloten dealers,New
